Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",-43.600000,-45.100000,90.000000,bottom
"C1","10uF","C_0603_1608Metric",40.200000,-55.500000,0.000000,top
"C2","100nF","C_0402_1005Metric",38.500000,-43.100000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.130000,-38.100000,90.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.040000,-49.880000,90.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.100000,-61.600000,90.000000,top
"R1","33","R_0603_1608Metric",41.200000,-42.700000,0.000000,top
